name,rating
Gyushabu Gyusuki All you can eat Tajimaya Shijo Kawaramachi Ten,3.06
Ryu An,3.37
Yamori Do,3.48
Kyo no Sake Sora,3.27
Gion Bistro Maruhashi,3.53
Donguri Shijoomiya Ten,3.16
IL LAGO,3.37
Tenka no Yakiniku Daishogun Kyoto Ekimae Ten,3.29
Yakiniku Nonki,3.25
ajiromanishigamatei,-
Kyogoku Kaneyo,3.49
Shoku Kyoto Ogawa Shoyaku Restaurant,3.33
Teppan Sakaba Chacha Stand,3.05
BENJAMIN GRILL KYOTO,3.22
wagyuunikuryourimatsugasakihirari,-
Nagomi Ren Karasuma Ten,3.09
Taishu Sakaba Woniwa Kawaramachi Ten,3.51
Suishin Kyoto Ekimae Ten,3.34
Tori Sakana Kyoto Kawaramachi Ten,3.00
Sumika Tomi Koji Ten,3.51
kaisentosumiyakinagi,3.05
Gion Hanamai,3.05
Pontocho Sushi Yoshino,3.16
Kyoto Gohan Amami no Keihan Komoto,3.29
Café Haleine,3.08
Kyo no Yakiniku Dokoro Renzou,3.27
Kyomachiya no Kuroge Wagyu Ittogai Yakiniku Ichiba Koji Kiyamachi Ten,3.26
Tsuda Ro,3.42
LOTUS,3.35
Kyoryori Takeshima ICHIGO,3.37
Kyo Sakaba Danran,3.28
Teppan Dining Kyoshikian,3.11
Kyoto Sushi no Kura,3.60
Yoichi Teki Tenshin Sakaba Hao Miyukicho Ten,3.35
Daniel's Luce,3.30
Gyukaku Kameoka Ten,3.00
Yasai Dining Kusushi,3.09
Beer Thirty Kyoto Kawaramachi Ten,3.24
Aoba,3.05
Shishi Ou,3.14
Kappo Saraku,3.07
SCHOLE Umekojiten,3.34
Gyukaku Uji Makishima Ten,3.02
Nagamegawa Pontocho Hana,3.41
Wagyu Ryotei Bungo,3.18
Nijojou Soba Tatsu Ichi,3.35
Roti Chicken & Jackie Tacos,3.46
sushi ginza onodera Four seasons hotel kyoto ten,3.05
Sumiyaki Toritaka,3.31
Gion Yuyama,3.61
Yakiniku Bun'ya,3.40
Tenshin Chashitsu Kyobashi Ten,3.47
sushiimajin,3.01
Nihonshu to Obanzai no Kyo Sakaba Kensui Nishiki Nishi Nishikoji Ten,3.27
Aka Chiri Ya Kyoto Eki Hachijo Guchi,3.05
Japanese cuisine Fujii,3.58
Kamogawa Takashi,3.60
Kyo Horumon Kura Oote Suji Ten,3.14
Kyo Youshoku Matsumoto,3.47
Kurochiku Manten Sukiyaki Shabushabu,3.01
Seafood Sakaba Moai,3.05
Dining Cafe & Bar Rondo,3.36
FULL MOON Kyoto Kawaramachi,3.20
French Bar Do,3.05
Yotteko Ya,3.03
Gion Ebata,3.20
Sushi Iso,3.30
rasutoshinriba,-
Minato Asaichi Bohatei Fushimi Ten,3.05
Izakaya Chiriego,3.01
Sumibiyaki Kiseki,3.09
kabura,3.25
Yakiniku Sho Kakuo Kiyamachi Tei,3.37
Katsukai Center Kyoto Gion Honten,3.05
Ichizen Meshiya Ribbon,3.45
Napule Kyoto Gion Ten,3.32
Niku Ryori Kawamori,3.52
Teppanyaki Dining Yanagi,-
Sekki (Six Senses Kyoto),3.32
Arashiyama Unashu,3.23
Bellota Muamua Karasuma Sanjo Ten,3.36
KINOHACHI Kyoto Ekimae,3.33
curd,3.08
Kakuyasu Beer to Tetsunabe Gyoza 3 6 5 Sakaba Kyoto Kawaramachi Ten,3.03
Sanga Ono Kyoto Jokyoji,3.51
IL GHIOTTONE Kyotohonten,3.69
Gyukaku Keisen Kaido Ten,3.01
Aiyo!! Sanjo Tomikoji Ten,3.21
Saryo Kyoto Yoshitsugu,3.22
Kushi Katsu Tanaka Sain Ten,3.02
Yakiniku Genshu Goshu,3.27
Prugna+Cafe,3.20
Gion Shishishi,3.53
TRATTORIA M KYOTO,3.32
Gion Okumura,3.21
Cafe Restaurant Le Temps,3.48
HOSOKAWA Shimogamohon Ten,3.53
Ralph's Coffee Kyoto Bar,3.31
Roji to no Moto,3.55
Vikingcafe Goloso,3.02
Korean Shiki Yakiniku Mayaku Karubi Kyoto Kiyamachi Ten,3.24
Sushi to Kushi to Watakushi Sanjo Ohashi Ten,3.35
common dininng,3.16
Beer Thirty Kyoto Ekimae Ten,3.20
BELLOTA concha Tomi Koji Ten,3.49
Aburi Shibuya Yamashinaekimaeten,3.18
Ryoriya En,3.23
Yakiniku Makiryori Karasuma Rock Kyobashi Ten,3.08
Shibuya Nagitsuji Honten,3.02
KOTO,3.20
Boku no Stand,3.44
Gyukaku Kyoto R1 Shimotoba Ten,3.02
Gyukaku Kyoto Shijo Kawaramachi Ten,3.04
Toto Gen Higashi Maizuru Ten,3.42
Gion Kani o Kurau,3.01
Beyota Mucho Muro Machi Ten,3.40
Matoya Kaki Shima Hanto,3.30
Kitsune Biyori,3.27
Yakiniku Horumon Bungo Sain Ten,3.35
Kushi Katsu Tanaka Sanjo Kiyamachi Ten,3.02
kajuarukappoutonomizu,3.05
Kappou Ichikawa,3.74
Kanemitsu,-
Sushi to Tempura to Watakushi Kyobashi Ten,3.39
Kyomachiya Kamoshabu Kuu,3.37
Tanshabu Shinjou,3.06
Baniku Ryori Basho,3.05
nagatanien,-
Sugiura Kyoto Ekimae Ten,3.05
Sou,3.53
Mushi to Ate Fufuu Kyoto Ekimae Ten,3.33
Akemashite Omedetou Gozaimasu,3.54
Pontocho Fujita,3.53
Chisou Inaseya,3.46
Tori Kizoku Shijo Kawaramachi Ten,3.04
Motsuichi,3.10
Tori Kizoku Imadegawa Ten,3.02
Tori Kizoku Demachiyagi Ten,3.02
Minmin Shijo Ten,3.17
Tori Kizoku Kiyamachidoriten,3.02
Tori Kizoku Sanjo Kiyamachi Ten,3.02
Tori Kizoku Kitano Shiraume Cho,3.01
Tori Kizoku Fushimi Momoyama Ten,3.02
Tori Kizoku Fukakusa Ten,3.02
Al Vere,3.07
NOVECCHIO Encho,3.10
Yum cha Bar SinSin,3.24
Katei Ryori to Obanzai Tabeyoshi,3.01
Cafe Dining Sera,3.32
Sakura to Miyako,3.26
Kyocafe chacha Arashiyama Ten,3.22
Brisa,3.03
l'utubo,3.04
Izakaya Maruya,3.09
Belgian Beer & Ofu Ryori Tokishirazu,3.30
Gion Nanba,3.71
Shuhari,3.02
Oike Suishin Hon Ten,3.18
motsunabe rikoh,3.59
India Nepalese Himalaya,3.12
Sumibi Yakiniku Noburu Sain Ten,3.31
Teppachi Chicken,3.08
Mekiki no Ginji Ujiminamiguchi Ekimae Ten,3.02
Mashita,3.68
Ludens,3.70
BeerMan,3.04
Kin no Primo,3.02
Tawaraya Fushimi Momoyama Ten,3.06
Kyo Yakiniku Nishiki Senbon Imadegawa Ten,3.08
Sushi Sake Sakana Sugitama Saiin,3.16
Robata Yutaka,3.04
Gion Iwamoto,3.27
Shigure Chaya Wabisuke,3.14
Hakata Motsu-nabe Ooyama Kyoto Poruta Ten,3.07
Motsuni to Shiromeshi Eko,3.31
IZAKAYA HIROYA,3.01
ku_nel,3.04
"Okoshiyasu Oden to Obanzai, Chotto Kamameshi",3.02
Yakiniku Kagura Matsui Yamate Ten,3.41
Bordeaux,3.30
Chisan Shokudo HISAMI,3.42
All you can eat and drink Izakaya Rokkaku Sakaba Chabuchabu,3.02
Kyoto Yakiniku enen Sentocho Honten,3.46
Trattoria La Voce,3.44
Uotami Kintetsu Ookubo Eki Mae Ten,3.00
Kushi Katsu to Whale dishes Kushi Tatsu,3.07
Restaurant Mitocha,3.05
Kyoryori Shunmi Shunsai Taichi,3.19
Ganga,3.01
Sandaya Honten Takaragaike Ten,3.13
JOYS TABLE,3.35
Shippori Ya,3.13
Beer Bar & Bar Lit,3.08
JYOTY,3.05
Roast Beef no Mise Watanabe,3.57
Soba Teuchi Takahashi,3.25
Sokkon Fujimoto,3.08
Imo Matsu Kita Bekkan,3.01
Suppon Nabe Hamo Ryori Sanei,3.28
Brasserie VAPEURS Sanjo Shinmachi,3.27
Karashi Jukusei Yakiniku Tsutsui,3.31
Sushi Kappou Mitsuba,3.01
BHAGWATI TAJ MAHAL Mukaizima ten,-
Sumibi Yakitori Kakurega Nonbee,3.22
Crayon Shokudo,3.29
Matsunaga Wagyu Yakiniku Kujou,3.06
CLAY POT CURRY OHMIYA,3.33
Sushi Ryori Nakata,3.16
Teppan Bar Fujimura Shoten,3.03
Wasai Taka,3.31
Italian Shokudo 910,3.53
Baka Musuko,3.22
Restaurant YUZIN‐AN,3.01
Kyoryori Tankuma Kita Mise Directed by M.Kurisu,3.18
orizzonte,3.46
Korean Sakura Tei Hon Ten,3.22
Kyo Yakiniku Nishiki Yamashina Ten,3.07
Souan Cafe,3.09
Kyo Yakiniku Nishiki Kumiyama Ten,3.08
Chinese Chinmin Gion Ten,3.39
Yondai Godaime Nishiki Edogawa Matsuki,3.07
ATOLL TERRASSE KAMOGAWA,3.09
Masa Katsu,3.19
FOUR SEASONS,3.03
Honmaguro to Shimagohan Panari Kyoto Kawaramachi Sanjo,3.35
Saiin Yakiniku YUU,3.54
Anago Ryori Oogane,3.26
ajiandaininguandoba,-
Chinese Shunsai Ajisai,3.27
Oumi Beef Kobe Beef Yakiniku Meat Soul,3.27
Umeno Ya,3.06
Leon Shokudo 146,3.25
Menbo Shijo Ten,3.29
Fukakusa Sakaba Nagahama Ya,3.00
Zezekan Pocchiri,3.65
Gion Bar Home,3.03
Asahi,-
Takara Do Karasuma,3.24
Hot Keya Sain Ten,3.03
Sake to Sakana DNA,3.29
Uotami Bierataun Keihanna Ten,3.02
Sakana to Oyasai no Italian Alberta KARASUMA,3.05
Kiraku Sushi Samon,3.08
Kani Man,3.17
Wamucha Cafe,3.26
Log Nishi Ooji Gojo Ten,3.07
Aji Kobo Uekawa,3.07
Kyo Yakiniku Nishiki Kamikatsura Honten,3.08
Oniku to Yasai Hachibe,3.56
Warajiya,3.71
Toki,3.14
Harami de Tenka Tottarude,3.02
Obanzai no Mise Kyoto Kotokoto Karasuma Oike Ten,3.26
PUBBAR,3.01
Hana Tanuki Oike Ten,3.03
ALL DAY DINING KAZAHANA,3.30
Karasumaoike UI,3.33
Kyo Motsu-nabe Hidetora,3.34
Ippon Yari,3.08
Chinese Hoshigaoka,3.38
Yamauchi Nojo Kyoto Chuo Guchi Ekimae Ten,3.02
Sumibi Yakiniku Noburu Omiya Ten,3.27
Ikariya 365,3.44
Takoyaki Kyo no Hana Kyoto Kawaramachi Ten,3.08
wabiya,3.18
Sakaba Gohan Sumika,3.13
Kyo Sushi Ookini,3.21
Niku Kappou Futago Za Junei Hoteru Kyoto,3.31
HUB Kyotoyodobashiten,3.25
Kyo no Jidoriya Aki,3.33
Takoyaki Ippin Takowaka Kyoto Fushimi,3.05
Wine Do,3.40
Japanese cuisine to Nihonshu Satoshi,3.70
Nihonshu to Sumibiyaki Fujimaru,3.10
Kyomachi Bar,3.07
Uji So Kokoro,3.30
Sushi Sake Sakana Sugitama Fushimi Momoyama,3.43
Shirokiya Kyoto Chuo Guchi Ekimae Ten,3.01
GLASS HOPPER,3.13
Tiem an HUONG VIET,3.37
Kyoryori Mancho,3.27
Uotami Nakashojima Kitaguchi Ekimae Ten,3.02
shokugaku izakaya numachantoko,3.02
Hosho An,3.21
Sakedokoro Kyomachi Chaya Fushimi Momoyama Ten,3.15
gionK,3.04
Kyoryu Shusai Kaigetsu,3.28
Bretz Cafe Crepe Lee Kyobashi Ten,3.09
Sandaya Honten Shinborikawa Ten,3.04
hakubi,3.23
Yakiniku Ushino Ie,3.25
Horumon Yakiniku Enzo,3.22
Kyo no Oheso,3.36
Tatsumiya,3.43
Hakata Motsu-nabe Yamaya Shijo Karasuma Ten,3.20
Kyoto Maruyama Tensho,3.12
Roko,3.37
WEBER,3.08
mimaki,3.25
Go-En Kyoto Sanjo Shinmachi,3.02
Kiraku,3.13
Wagyu Yakiniku Nakayoshi,3.08
Kashiwa Kiyamachi Ten,3.23
SAINTMARC Kyoto Fushimi Ten,3.08
,
Ajidokoro Akiyoshi,3.09
Bar Cibo,3.10
Suruga Bar,3.05
Singular,3.18
Ajoshi,3.13
Kushi Raku Yamashina Ten,3.01
SHREE KRISHNA Hakurakuten,3.06
Namaste Taj Mahal Mukoji Ichi Ten,3.03
Kirari,-
Thai Kitchen BARAMEE,3.15
Spaghetteria Primavera,3.19
Bakery Restaurant Saint Marc Kyoto Kitayamadori Ten,3.05
Maison de Vin Uzura Tei,3.63
ristorante DONO,3.51
Kyoto Yakiniku Nandaimon,3.26
Osteria Coccinella,3.30
Seafood Bar Uoharu,3.28
Chinese Koga,3.16
HUB Sanjo Kiyamachi Ten,3.08
Paratik Restaurant Kujo Ten,3.06
Washoku Shunsai Manma,3.17
Yakitori Shin Gojo Shichihonmatsu Ten,3.26
Haochi Place Happy Hour,3.12
Gion Okuoka,3.35
Bachiya Karasuma Imadegawa Ten,3.01
Tonkatsu Buta Ryori Juju Sanjo Jingudo Honten,3.40
Shabu An Gion Ten,3.05
Haraaru,3.05
Kyokaiseki Shinya,-
Ukiya Hotel Okura Kyoto Ten,3.13
Kakure Sakaba Tomoshibi,3.29
Yakitori Kizuna,3.03
Deai Chaya Osen,3.50
NICK STOCK Kyotorisachipakuten,3.08
Sushi Sake Sakana Sugitama Kyoto Kawaramachi,3.37
Bistro Meru,3.56
Yasai Ryori OKI Shijo,3.01
Ryoriya Shintani,3.53
Baka Bond,3.27
Miho Nishi Ooji Ekimae Ten,3.19
Honmaguro Nihonshu BAR Ginjo Kuraudo Kyoto Ekimae Ten,3.38
Uotami Nagaoka Tenjin Nishiguchi Ekimae Ten,3.01
,
Gion Kotobukiya,3.13
Kushiage to Sakana to Kidoki Yasumi,-
Mekiki no Ginji Shintanabe Nishiguchi Ekimae Ten,3.02
Cafe Restaurant Lavender,3.07
Sake Sakana Tanagokoro,3.15
B STORE 1st,3.35
,
Steak Shokudo Masayoshi Sain Ten,3.21
Tenshin Shuka Kochou,3.08
Tsubakuro Suppon Shokudo Kyobashi Ten,3.18
,
Yottekoya,3.07
Namaste Taj Mahal,3.06
Sushi Gohan Banba,3.43
WOW WOW TONIGHT,3.24
Kyo Yakuzen Natsume,3.05
Anzukko,3.27
,
Tonbo,3.05
BONSAI1877,3.30
,
Togi Ya Karasuma Sanjo Kashikiri Ten,3.05
Italian Ryori Shiki ricetta8.7,3.16
Shiawase Yokocho,3.10
PACK,3.34
Haccomachi,3.05
Liebeck,3.06
Gion Kankan Deli Rei,3.35
M Salute31,3.25
Yamabana Heihachi Chaya,3.41
Mishino,3.09
Saijiki Toshigami,3.09
Namara Ya Kyoto Shimogamo,3.19
Cafe Amazon Hyakumanben Ten,3.23
,
Trattoria Annamaria,3.58
,
Uotami Higashi Maizuru Ten,3.01
Yanagimachi,3.63
FRIGO,3.07
Kantaku,3.04
Henohenomoheji,3.12
Lulson Kiboa,3.21
Shunsai Kakou kocorono,3.07
Yakiniku Horumon Mansei,3.39
Saika Tei,3.45
Namaste Dhaulagiri,3.08
Boulevard,3.21
Cafe Restaurant Lavender,3.04
SALAO,3.51
Niku to Niwa Matsuo,3.29
Uotami Kameoka Minamiguchi Ekimae Ten,3.02
BISTRO NAMI,3.34
Thai Restaurant GAPAO,3.25
Taketori Sakemonogatari Kyoto Chuo Guchi Ekimae Ten,3.02
Wine Marche,3.07
Barraca,3.45
Hana Tanuki Kawaramachi Ten,3.09
KIHARU Brasserie,3.38
BLUE LEAF CAFE Kyoto,3.16
Steak House Takami,3.27
Nikuzara Sakaba Hakoya,3.08
Mi Mitarashi Dango by kolme kyoto,3.26
Oryori Iden,3.08
Kuro Zakura Hachijo Guchi Ten,3.18
Chisou Aida,3.05
Region,3.32
kitoroshouten,3.12
Kyo no Oshokujidokoro Obanzai to Kushiage Maiki,3.15
HUB Shijo Karasuma Ten,3.18
,
,
Fuku Yoshi,3.15
Pierre Precieuse,3.12
REIMS JAPONE,3.33
Restaurant DA CIRO,3.61
CHIMERA,3.80
SOMA,3.31
Yadori Sanyoso,3.15
Kappou Teppei,3.03
Novechio Sain,3.17
Oryori Kitayama Hanbee,3.03
Mekiki no Ginji Kyoto Chuo Guchi Ekimae Ten,3.04
Manmaru no Tsuki Nishiki Ten,3.44
Sukiyaki Niku no Hiroshige Takatsuji,3.08
Asamade Taishu Sakaba Kokoro,3.05
CAFE&GALLERY WAKU,3.02
Sushi to Izakaya Uotami Kyoto Chuo Guchi Ekimae Ten,3.04
Manjiro,3.40
Mimiu Kyoto Isetan Ten,3.26
Kyoto Yakitori Seisakujo,3.34
KYOTO BISTRO,3.51
Gion Kyoryori Hanasaki,3.53
PIOPIKO,3.46
PIZZERIA ILFICO,3.21
Mumon Sanjo Muromachi Ten,3.09
Affinage,3.63
Tsukemono Dining Ogihiroya,3.02
Roast Beef Ohno Shinkyogoku Ten,-
Arashiyama Kumahiko Tankuma Kita Ten,3.52
OBANZAI & GRILL Sala,3.42
,
,
Kyoto Modern Terrace,3.54
Cafe Neighbors,3.07
Bimidokoro Tsukasa,3.10
,
Nominokoji Yamagishi,3.75
,
Hire Yakiniku Kyoto En,3.20
,
Chuka Hanten,3.05
Yakiniku Yamachan,3.79
Birichinata,3.56
aiyoxtsu Nijo Eki Ten,3.07
Teppan Kushiyaki SABRINA,3.25
GRILL TERRACE ABURU,3.27
Reine des pres,3.74
KOSA,3.25
,
Teppanyaki SOLA,3.02
Samgyeopsal Senmon Ten Butaboshi,3.20
Teppan Okonomiyaki Miki,3.11
Shoen Tei,3.18
Toriimoto Yusan,3.28
Gin no To,3.23
Yakiniku Yazawa Kyoto,3.71
Ajoshi Sanjo Takase Ten,3.05
Yuba Ryori Higashiyama Yuzu,3.49
yakitorihiroya,3.08
MARE,3.37
ORTO,4.01
Minari Jei A Ru Kyoto Isetan Ten,3.26
Toriniku Senmon Ten Nakamura Poultry Kizu Ten,3.04
Hana Oogi,3.05
ZEN,3.26
Kyoshunsai Yusho,3.25
STEAK HOUSE Hanamoto,3.12
Cafe Manoir,3.33
ＰＯＮＴ - ＯＡＫ,3.40
mitoho kyoto bettei,3.08
,
Kyoto Tempura Ten no Meshi Gionhonten,3.13
Morihan Kura Cafe,3.34
trattoria sette Hyatt Regency Kyoto,3.50
Mizu no Miyabi Kyoto Fushimi,3.56
GAUCHO,3.12
Suehiro,3.27
Bar Gion,3.04
Sanpei Do,-
yakiniku sutamina yama,3.12
Kentan Horibe,3.75
,
Sunahama Dining bar Shape Beach Kyobashi Ten,-
Sabou Hanbee,3.59
BABY FACE Planet's Ion Taun Yamashina Nurutsuji Ten,3.01
Kyoto Gion Kawamura Ryorihei Gion Kitagawa Ten,3.07
SAMJHANA,3.27
Namaste India,-
Oike Cafe × Hachinobo,3.24
FUL,3.23
Kyo Kushiage to Osake Aiyo!! Shijo Takakura Ten,3.16
Diane Kawaramachi Kiyamachi Ten,3.15
CURRY DINING SHAHI,3.11
,
Nishijin Hashimoto,3.09
Sushi Kawano,3.56
Nakamitsu,3.12
PANPANI,3.08
Sobremesa,3.16
Bussarakan,3.41
Kyoto Senryo,3.03
MR.MAURICE'S ITALIAN,3.52
Kaisei Tei Hokusanten,3.36
Yakiniku Touzan,3.08
Kyo no Kome Ryotei Hachidaime Gihee,3.59
Wa Nichi,3.06
Bistro Ramaju,3.25
Sushi Mori Gaku,3.53
Shimogamo Ichima,3.10
Etto,3.22
Teppan Ate Kamui,3.08
Shiki,3.29
Kyosakana Fukuya,3.07
arancino KYOTO,3.55
Indian Nepali Restaurant Kyoto Dining,3.05
Delica And Dish Taichiroya,3.05
Hokkori Sakaba Nagomiya,3.21
Beans cafe .miyama,3.03
shiro,3.92
Tare Dokoro Jianya,3.05
Unagi to Apple Pie Yasaka 1646,3.02
Sumiyaki Jidori Shubo Takumi,3.05
ilifune,3.03
S Vietnamese Ryori,3.08
THE TASTE,3.39
Sake to Sakana Umaimon Kuukai,3.16
Banboo Higashiyama Sanjo Honten,3.31
Kimkatsu Kyoto Karasuma Ten,3.18
Restaurant Nishijima,3.24
Sumibi Kushiyaki Torito Shijo Karasuma Ten,3.28
KIZAHASHI,3.64
SANJU KITCHEN,3.07
Dominique Bouchet Kyoto Le RESTAURANT,3.52
XIANG,3.31
AKARI,3.03
Nishiki Warai Rakusai Ten,3.04
Sumi no Kuchi,3.24
NIKOLABO,3.22
Tanto to Wakura Fushimi Momoyama Ten,3.05
Niku Dokoro Oota,3.09
Nishiki Warai Matsui Yamate Ten,3.07
KYOTO STAR BAR,3.67
Yakinikuya Masuichi Sakaimachi Nishiki Ten,3.50
Le Cadeau,3.10
Sumibi to Sake Shingetsu,3.12
Kutsurogi Dining Tegetege,3.10
Tomoe Shokudo,3.16
Korean Shokudo Iru Goshominami,3.59
Mine Tora,3.29
NICK STOCK Ionmo-Ru Kyoto Ten,3.09
Umemura,3.27
MAGOKORO,3.12
Toreador,3.18
ALIARE,3.27
Kushikatsu Rokkakuya,3.27
Beijing Ryori Kayu Saikan,3.31
Hana Tanuki Kyoto Ekimae Ten,3.08
Sumibi Wagyu Isshin,3.14
grand-bar,3.16
Gion Nakahana,3.07
BUONAGIO futuristic teppan style,3.14
,
Kyo Oden Rokkonn Kyoto Karasuma Ten,3.16
Higashiyama Garden,3.20
Nishiki Warai Kinhonten,3.13
Nishiki Warai KisshoIn Ten,3.06
DONGURI Yamashina Ten,3.09
Sakaki Hon Ten,3.07
Tempura Kawatatsu,3.71
Sumiyaki Unagi Ozeki,3.26
Kyoyasai French Kaiseki Gion Shigenaga,3.14
Sumibi Jingisukan Senmonten Bengara,3.30
Koraku,3.12
CAFE BAW,3.10
MAISON TANUKI,3.45
Kyoryori Matsusho,3.03
Ryukyu Shokudo KUKURU Karasuma Ten,3.25
carta.,3.18
Steak House Nakahara,3.15
Kyoto Ichijoji Monjiya,3.09
Tomosei,3.15
Koko Yanen Seika Cho Ten,3.04
cafe Ichigo Ichie,3.11
BAR&IZAKAYA muromatinijyouminoya,3.11
Yakiniku Horumon Gyuteru Ryori Aniki,3.23
Shunsai Fujii,3.13
Sumibi Log,3.13
Gyokou Chokusou Seafood Sakaba Anji Fuyachoayanokojiten,3.43
Kyo Motsu-nabe Horumon Shushu Kyoto Senchu Ten,3.06
Cucina Italiana Todo,3.70
Yakiniku Douraku Kyoto Rokkakudori Ten,3.13
Daitokuji Sushi Cho,3.09
Tsutaya,3.29
ortensia,3.53
Seabura no Kami slurp,3.57
Yakiniku Goen Yawata Ten,3.02
sinoa,3.36
Ushiya Yohei,3.24
Yururi,3.03
Sumiyaki Seriu,3.68
BAR-CERVECERIA xativa,3.18
Gion Tanimoto,3.21
Koko Yanen Yamashinaekimaeten,3.02
Ryuugetsu An,3.19
Dan's Kitchen,3.12
Italian Shokudo Garoppare,3.38
Ajikura Fukuchiyama Honten,3.15
Teppan Dining L’ajitto,3.26
Button,3.09
Wara Ya,3.06
Le Blanc,3.11
Kyoto Sumibi Kushiyaki Tsujiya Shijo Miyukicho Ten,3.33
Hawaiian Cafe Mahou no Pancake Kizugawa Ten,3.06
LA RISOTTERIA,3.23
Brisket RONY,3.32
La Boucle,3.07
